id,name,parent,created_at,updated_at
1,レディース,0,2019-03-21 17:00:00,2019-03-21 17:00:00
2,メンズ,0,2019-03-21 17:00:00,2019-03-21 17:00:00
3,ベビー・キッズ,0,2019-03-21 17:00:00,2019-03-21 17:00:00
4,インテリア・住まい・小物,0,2019-03-21 17:00:00,2019-03-21 17:00:00
5,本・音楽・ゲーム,0,2019-03-21 17:00:00,2019-03-21 17:00:00
6,おもちゃ・ホビー・グッズ,0,2019-03-21 17:00:00,2019-03-21 17:00:00
7,コスメ・香水・美容,0,2019-03-21 17:00:00,2019-03-21 17:00:00
8,家電・スマホ・カメラ,0,2019-03-21 17:00:00,2019-03-21 17:00:00
9,スポーツ・レジャー,0,2019-03-21 17:00:00,2019-03-21 17:00:00
10,ハンドメイド,0,2019-03-21 17:00:00,2019-03-21 17:00:00
11,チケット,0,2019-03-21 17:00:00,2019-03-21 17:00:00
12,自動車・オートバイ,0,2019-03-21 17:00:00,2019-03-21 17:00:00
13,その他,0,2019-03-21 17:00:00,2019-03-21 17:00:00
14,トップス,1,2019-03-21 17:00:00,2019-03-21 17:00:00
15,ジャケット/アウター,1,2019-03-21 17:00:00,2019-03-21 17:00:00
16,パンツ,1,2019-03-21 17:00:00,2019-03-21 17:00:00
17,スカート,1,2019-03-21 17:00:00,2019-03-21 17:00:00
18,ワンピース,1,2019-03-21 17:00:00,2019-03-21 17:00:00
19,靴,1,2019-03-21 17:00:00,2019-03-21 17:00:00
20,ルームウェア/パジャマ,1,2019-03-21 17:00:00,2019-03-21 17:00:00
21,レッグウェア,1,2019-03-21 17:00:00,2019-03-21 17:00:00
22,帽子,1,2019-03-21 17:00:00,2019-03-21 17:00:00
23,バッグ,1,2019-03-21 17:00:00,2019-03-21 17:00:00
24,アクセサリー,1,2019-03-21 17:00:00,2019-03-21 17:00:00
25,ヘアアクセサリー,1,2019-03-21 17:00:00,2019-03-21 17:00:00
26,小物,1,2019-03-21 17:00:00,2019-03-21 17:00:00
27,時計,1,2019-03-21 17:00:00,2019-03-21 17:00:00
28,ウィッグ/エクステ,1,2019-03-21 17:00:00,2019-03-21 17:00:00
29,浴衣/水着,1,2019-03-21 17:00:00,2019-03-21 17:00:00
30,スーツ/フォーマル/ドレス,1,2019-03-21 17:00:00,2019-03-21 17:00:00
31,マタニティ,1,2019-03-21 17:00:00,2019-03-21 17:00:00
32,その他,1,2019-03-21 17:00:00,2019-03-21 17:00:00
33,トップス,2,2019-03-21 17:00:00,2019-03-21 17:00:00
34,ジャケット/アウター,2,2019-03-21 17:00:00,2019-03-21 17:00:00
35,パンツ,2,2019-03-21 17:00:00,2019-03-21 17:00:00
36,靴,2,2019-03-21 17:00:00,2019-03-21 17:00:00
37,バッグ,2,2019-03-21 17:00:00,2019-03-21 17:00:00
38,スーツ,2,2019-03-21 17:00:00,2019-03-21 17:00:00
39,帽子,2,2019-03-21 17:00:00,2019-03-21 17:00:00
40,アクセサリー,2,2019-03-21 17:00:00,2019-03-21 17:00:00
41,小物,2,2019-03-21 17:00:00,2019-03-21 17:00:00
42,時計,2,2019-03-21 17:00:00,2019-03-21 17:00:00
43,水着,2,2019-03-21 17:00:00,2019-03-21 17:00:00
44,レッグウェア,2,2019-03-21 17:00:00,2019-03-21 17:00:00
45,アンダーウェア,2,2019-03-21 17:00:00,2019-03-21 17:00:00
46,その他,2,2019-03-21 17:00:00,2019-03-21 17:00:00
47,ベビー服(女の子用)\,~95cm,3,2019-03-21 17:00:00,2019-03-21 17:00:00
48,ベビー服(男の子用)\,~95cm,3,2019-03-21 17:00:00,2019-03-21 17:00:00
49,ベビー服(男女兼用)\,~95cm,3,2019-03-21 17:00:00,2019-03-21 17:00:00
50,キッズ服(女の子用)\,100cm~,3,2019-03-21 17:00:00,2019-03-21 17:00:00
51,キッズ服(男の子用)\,100cm~,3,2019-03-21 17:00:00,2019-03-21 17:00:00
52,キッズ服(男女兼用)\,100cm~,3,2019-03-21 17:00:00,2019-03-21 17:00:00
53,キッズ靴,3,2019-03-21 17:00:00,2019-03-21 17:00:00
54,子ども用ファッション小物,3,2019-03-21 17:00:00,2019-03-21 17:00:00
55,おむつ/トイレ/バス,3,2019-03-21 17:00:00,2019-03-21 17:00:00
56,外出/移動用品,3,2019-03-21 17:00:00,2019-03-21 17:00:00
57,授乳/食事,3,2019-03-21 17:00:00,2019-03-21 17:00:00
58,ベビー家具/寝具/室内用品,3,2019-03-21 17:00:00,2019-03-21 17:00:00
59,おもちゃ,3,2019-03-21 17:00:00,2019-03-21 17:00:00
60,行事/記念品,3,2019-03-21 17:00:00,2019-03-21 17:00:00
61,その他,3,2019-03-21 17:00:00,2019-03-21 17:00:00
62,キッチン/食器,4,2019-03-21 17:00:00,2019-03-21 17:00:00
63,ベッド/マットレス,4,2019-03-21 17:00:00,2019-03-21 17:00:00
64,ソファ/ソファベッド,4,2019-03-21 17:00:00,2019-03-21 17:00:00
65,椅子/チェア,4,2019-03-21 17:00:00,2019-03-21 17:00:00
66,机/テーブル,4,2019-03-21 17:00:00,2019-03-21 17:00:00
67,収納家具,4,2019-03-21 17:00:00,2019-03-21 17:00:00
68,ラグ/カーペット/マット,4,2019-03-21 17:00:00,2019-03-21 17:00:00
69,カーテン/ブラインド,4,2019-03-21 17:00:00,2019-03-21 17:00:00
70,ライト/照明,4,2019-03-21 17:00:00,2019-03-21 17:00:00
71,寝具,4,2019-03-21 17:00:00,2019-03-21 17:00:00
72,インテリア小物,4,2019-03-21 17:00:00,2019-03-21 17:00:00
73,季節/年中行事,4,2019-03-21 17:00:00,2019-03-21 17:00:00
74,その他,4,2019-03-21 17:00:00,2019-03-21 17:00:00
75,本,5,2019-03-21 17:00:00,2019-03-21 17:00:00
76,漫画,5,2019-03-21 17:00:00,2019-03-21 17:00:00
77,雑誌,5,2019-03-21 17:00:00,2019-03-21 17:00:00
78,CD,5,2019-03-21 17:00:00,2019-03-21 17:00:00
79,DVD/ブルーレイ,5,2019-03-21 17:00:00,2019-03-21 17:00:00
80,レコード,5,2019-03-21 17:00:00,2019-03-21 17:00:00
81,テレビゲーム,5,2019-03-21 17:00:00,2019-03-21 17:00:00
82,おもちゃ,6,2019-03-21 17:00:00,2019-03-21 17:00:00
83,タレントグッズ,6,2019-03-21 17:00:00,2019-03-21 17:00:00
84,コミック/アニメグッズ,6,2019-03-21 17:00:00,2019-03-21 17:00:00
85,トレーディングカード,6,2019-03-21 17:00:00,2019-03-21 17:00:00
86,フィギュア,6,2019-03-21 17:00:00,2019-03-21 17:00:00
87,楽器/器材,6,2019-03-21 17:00:00,2019-03-21 17:00:00
88,コレクション,6,2019-03-21 17:00:00,2019-03-21 17:00:00
89,ミリタリー,6,2019-03-21 17:00:00,2019-03-21 17:00:00
90,美術品,6,2019-03-21 17:00:00,2019-03-21 17:00:00
91,アート用品,6,2019-03-21 17:00:00,2019-03-21 17:00:00
92,その他,6,2019-03-21 17:00:00,2019-03-21 17:00:00
93,ベースメイク,7,2019-03-21 17:00:00,2019-03-21 17:00:00
94,メイクアップ,7,2019-03-21 17:00:00,2019-03-21 17:00:00
95,ネイルケア,7,2019-03-21 17:00:00,2019-03-21 17:00:00
96,香水,7,2019-03-21 17:00:00,2019-03-21 17:00:00
97,スキンケア/基礎化粧品,7,2019-03-21 17:00:00,2019-03-21 17:00:00
98,ヘアケア,7,2019-03-21 17:00:00,2019-03-21 17:00:00
99,ボディケア,7,2019-03-21 17:00:00,2019-03-21 17:00:00
100,オーラルケア,7,2019-03-21 17:00:00,2019-03-21 17:00:00
101,リラクゼーション,7,2019-03-21 17:00:00,2019-03-21 17:00:00
102,ダイエット,7,2019-03-21 17:00:00,2019-03-21 17:00:00
103,その他,7,2019-03-21 17:00:00,2019-03-21 17:00:00
104,スマートフォン/携帯電話,8,2019-03-21 17:00:00,2019-03-21 17:00:00
105,スマホアクセサリー,8,2019-03-21 17:00:00,2019-03-21 17:00:00
106,PC/タブレット,8,2019-03-21 17:00:00,2019-03-21 17:00:00
107,カメラ,8,2019-03-21 17:00:00,2019-03-21 17:00:00
108,テレビ/映像機器,8,2019-03-21 17:00:00,2019-03-21 17:00:00
109,オーディオ機器,8,2019-03-21 17:00:00,2019-03-21 17:00:00
110,美容/健康,8,2019-03-21 17:00:00,2019-03-21 17:00:00
111,冷暖房/空調,8,2019-03-21 17:00:00,2019-03-21 17:00:00
112,生活家電,8,2019-03-21 17:00:00,2019-03-21 17:00:00
113,その他,8,2019-03-21 17:00:00,2019-03-21 17:00:00
114,ゴルフ,9,2019-03-21 17:00:00,2019-03-21 17:00:00
115,フィッシング,9,2019-03-21 17:00:00,2019-03-21 17:00:00
116,自転車,9,2019-03-21 17:00:00,2019-03-21 17:00:00
117,トレーニング/エクササイズ,9,2019-03-21 17:00:00,2019-03-21 17:00:00
118,野球,9,2019-03-21 17:00:00,2019-03-21 17:00:00
119,サッカー/フットサル,9,2019-03-21 17:00:00,2019-03-21 17:00:00
120,テニス,9,2019-03-21 17:00:00,2019-03-21 17:00:00
121,スノーボード,9,2019-03-21 17:00:00,2019-03-21 17:00:00
122,スキー,9,2019-03-21 17:00:00,2019-03-21 17:00:00
123,その他スポーツ,9,2019-03-21 17:00:00,2019-03-21 17:00:00
124,アウトドア,9,2019-03-21 17:00:00,2019-03-21 17:00:00
125,その他,9,2019-03-21 17:00:00,2019-03-21 17:00:00
126,アクセサリー(女性用),10,2019-03-21 17:00:00,2019-03-21 17:00:00
127,ファッション/小物,10,2019-03-21 17:00:00,2019-03-21 17:00:00
128,アクセサリー/時計,10,2019-03-21 17:00:00,2019-03-21 17:00:00
129,日用品/インテリア,10,2019-03-21 17:00:00,2019-03-21 17:00:00
130,趣味/おもちゃ,10,2019-03-21 17:00:00,2019-03-21 17:00:00
131,キッズ/ベビー,10,2019-03-21 17:00:00,2019-03-21 17:00:00
132,素材/材料,10,2019-03-21 17:00:00,2019-03-21 17:00:00
133,二次創作物,10,2019-03-21 17:00:00,2019-03-21 17:00:00
134,その他,10,2019-03-21 17:00:00,2019-03-21 17:00:00
135,音楽,11,2019-03-21 17:00:00,2019-03-21 17:00:00
136,スポーツ,11,2019-03-21 17:00:00,2019-03-21 17:00:00
137,演劇/芸能,11,2019-03-21 17:00:00,2019-03-21 17:00:00
138,イベント,11,2019-03-21 17:00:00,2019-03-21 17:00:00
139,映画,11,2019-03-21 17:00:00,2019-03-21 17:00:00
140,施設利用券,11,2019-03-21 17:00:00,2019-03-21 17:00:00
141,優待券/割引券,11,2019-03-21 17:00:00,2019-03-21 17:00:00
142,その他,11,2019-03-21 17:00:00,2019-03-21 17:00:00
143,自動車本体,12,2019-03-21 17:00:00,2019-03-21 17:00:00
144,自動車タイヤ/ホイール,12,2019-03-21 17:00:00,2019-03-21 17:00:00
145,自動車パーツ,12,2019-03-21 17:00:00,2019-03-21 17:00:00
146,自動車アクセサリー,12,2019-03-21 17:00:00,2019-03-21 17:00:00
147,オートバイ車体,12,2019-03-21 17:00:00,2019-03-21 17:00:00
148,オートバイパーツ,12,2019-03-21 17:00:00,2019-03-21 17:00:00
149,オートバイアクセサリー,12,2019-03-21 17:00:00,2019-03-21 17:00:00
150,まとめ売り,13,2019-03-21 17:00:00,2019-03-21 17:00:00
151,ペット用品,13,2019-03-21 17:00:00,2019-03-21 17:00:00
152,食品,13,2019-03-21 17:00:00,2019-03-21 17:00:00
153,飲料/酒,13,2019-03-21 17:00:00,2019-03-21 17:00:00
154,日用品/生活雑貨/旅行,13,2019-03-21 17:00:00,2019-03-21 17:00:00
155,アンティーク/コレクション,13,2019-03-21 17:00:00,2019-03-21 17:00:00
156,文房具/事務用品,13,2019-03-21 17:00:00,2019-03-21 17:00:00
157,事務/店舗用品,13,2019-03-21 17:00:00,2019-03-21 17:00:00
158,その他,13,2019-03-21 17:00:00,2019-03-21 17:00:00
159,Tシャツ/カットソー(半袖/袖なし),14,2019-03-21 17:00:00,2019-03-21 17:00:00
160,Tシャツ/カットソー(七分/長袖),14,2019-03-21 17:00:00,2019-03-21 17:00:00
161,シャツ/ブラウス(半袖/袖なし),14,2019-03-21 17:00:00,2019-03-21 17:00:00
162,シャツ/ブラウス(七分/長袖),14,2019-03-21 17:00:00,2019-03-21 17:00:00
163,ポロシャツ,14,2019-03-21 17:00:00,2019-03-21 17:00:00
164,キャミソール,14,2019-03-21 17:00:00,2019-03-21 17:00:00
165,タンクトップ,14,2019-03-21 17:00:00,2019-03-21 17:00:00
166,ホルターネック,14,2019-03-21 17:00:00,2019-03-21 17:00:00
167,ニット/セーター,14,2019-03-21 17:00:00,2019-03-21 17:00:00
168,チュニック,14,2019-03-21 17:00:00,2019-03-21 17:00:00
169,カーディガン/ボレロ,14,2019-03-21 17:00:00,2019-03-21 17:00:00
170,アンサンブル,14,2019-03-21 17:00:00,2019-03-21 17:00:00
171,ベスト/ジレ,14,2019-03-21 17:00:00,2019-03-21 17:00:00
172,パーカー,14,2019-03-21 17:00:00,2019-03-21 17:00:00
173,トレーナー/スウェット,14,2019-03-21 17:00:00,2019-03-21 17:00:00
174,ベアトップ/チューブトップ,14,2019-03-21 17:00:00,2019-03-21 17:00:00
175,ジャージ,14,2019-03-21 17:00:00,2019-03-21 17:00:00
176,その他,14,2019-03-21 17:00:00,2019-03-21 17:00:00
177,テーラードジャケット,15,2019-03-21 17:00:00,2019-03-21 17:00:00
178,ノーカラージャケット,15,2019-03-21 17:00:00,2019-03-21 17:00:00
179,Gジャン/デニムジャケット,15,2019-03-21 17:00:00,2019-03-21 17:00:00
180,レザージャケット,15,2019-03-21 17:00:00,2019-03-21 17:00:00
181,ダウンジャケット,15,2019-03-21 17:00:00,2019-03-21 17:00:00
182,ライダースジャケット,15,2019-03-21 17:00:00,2019-03-21 17:00:00
183,ミリタリージャケット,15,2019-03-21 17:00:00,2019-03-21 17:00:00
184,ダウンベスト,15,2019-03-21 17:00:00,2019-03-21 17:00:00
185,ジャンパー/ブルゾン,15,2019-03-21 17:00:00,2019-03-21 17:00:00
186,ポンチョ,15,2019-03-21 17:00:00,2019-03-21 17:00:00
187,ロングコート,15,2019-03-21 17:00:00,2019-03-21 17:00:00
188,トレンチコート,15,2019-03-21 17:00:00,2019-03-21 17:00:00
189,ダッフルコート,15,2019-03-21 17:00:00,2019-03-21 17:00:00
190,ピーコート,15,2019-03-21 17:00:00,2019-03-21 17:00:00
191,チェスターコート,15,2019-03-21 17:00:00,2019-03-21 17:00:00
192,モッズコート,15,2019-03-21 17:00:00,2019-03-21 17:00:00
193,スタジャン,15,2019-03-21 17:00:00,2019-03-21 17:00:00
194,毛皮/ファーコート,15,2019-03-21 17:00:00,2019-03-21 17:00:00
195,スプリングコート,15,2019-03-21 17:00:00,2019-03-21 17:00:00
196,スカジャン,15,2019-03-21 17:00:00,2019-03-21 17:00:00
197,その他,15,2019-03-21 17:00:00,2019-03-21 17:00:00
198,デニム/ジーンズ,16,2019-03-21 17:00:00,2019-03-21 17:00:00
199,ショートパンツ,16,2019-03-21 17:00:00,2019-03-21 17:00:00
200,カジュアルパンツ,16,2019-03-21 17:00:00,2019-03-21 17:00:00
201,ハーフパンツ,16,2019-03-21 17:00:00,2019-03-21 17:00:00
202,チノパン,16,2019-03-21 17:00:00,2019-03-21 17:00:00
203,ワークパンツ/カーゴパンツ,16,2019-03-21 17:00:00,2019-03-21 17:00:00
204,クロップドパンツ,16,2019-03-21 17:00:00,2019-03-21 17:00:00
205,サロペット/オーバーオール,16,2019-03-21 17:00:00,2019-03-21 17:00:00
206,オールインワン,16,2019-03-21 17:00:00,2019-03-21 17:00:00
207,サルエルパンツ,16,2019-03-21 17:00:00,2019-03-21 17:00:00
208,ガウチョパンツ,16,2019-03-21 17:00:00,2019-03-21 17:00:00
209,その他,16,2019-03-21 17:00:00,2019-03-21 17:00:00
210,ミニスカート,17,2019-03-21 17:00:00,2019-03-21 17:00:00
211,ひざ丈スカート,17,2019-03-21 17:00:00,2019-03-21 17:00:00
212,ロングスカート,17,2019-03-21 17:00:00,2019-03-21 17:00:00
213,キュロット,17,2019-03-21 17:00:00,2019-03-21 17:00:00
214,その他,17,2019-03-21 17:00:00,2019-03-21 17:00:00
215,ミニワンピース,18,2019-03-21 17:00:00,2019-03-21 17:00:00
216,ひざ丈ワンピース,18,2019-03-21 17:00:00,2019-03-21 17:00:00
217,ロングワンピース,18,2019-03-21 17:00:00,2019-03-21 17:00:00
218,その他,18,2019-03-21 17:00:00,2019-03-21 17:00:00
219,ハイヒール/パンプス,19,2019-03-21 17:00:00,2019-03-21 17:00:00
220,ブーツ,19,2019-03-21 17:00:00,2019-03-21 17:00:00
221,サンダル,19,2019-03-21 17:00:00,2019-03-21 17:00:00
222,スニーカー,19,2019-03-21 17:00:00,2019-03-21 17:00:00
223,ミュール,19,2019-03-21 17:00:00,2019-03-21 17:00:00
224,モカシン,19,2019-03-21 17:00:00,2019-03-21 17:00:00
225,ローファー/革靴,19,2019-03-21 17:00:00,2019-03-21 17:00:00
226,フラットシューズ/バレエシューズ,19,2019-03-21 17:00:00,2019-03-21 17:00:00
227,長靴/レインシューズ,19,2019-03-21 17:00:00,2019-03-21 17:00:00
228,その他,19,2019-03-21 17:00:00,2019-03-21 17:00:00
229,パジャマ,20,2019-03-21 17:00:00,2019-03-21 17:00:00
230,ルームウェア,20,2019-03-21 17:00:00,2019-03-21 17:00:00
231,ソックス,21,2019-03-21 17:00:00,2019-03-21 17:00:00
232,スパッツ/レギンス,21,2019-03-21 17:00:00,2019-03-21 17:00:00
233,ストッキング/タイツ,21,2019-03-21 17:00:00,2019-03-21 17:00:00
