id,name,created_at,updated_at,size_group
1,XXS以下,2019-03-21 17:00:00,2019-03-21 17:00:00,1
2,XS(SS),2019-03-21 17:00:00,2019-03-21 17:00:00,1
3,S,2019-03-21 17:00:00,2019-03-21 17:00:00,1
4,M,2019-03-21 17:00:00,2019-03-21 17:00:00,1
5,L,2019-03-21 17:00:00,2019-03-21 17:00:00,1
6,XL(LL),2019-03-21 17:00:00,2019-03-21 17:00:00,1
7,2XL(3L),2019-03-21 17:00:00,2019-03-21 17:00:00,1
8,3XL(4L),2019-03-21 17:00:00,2019-03-21 17:00:00,1
9,4XL(5L)以上,2019-03-21 17:00:00,2019-03-21 17:00:00,1
10,FREE SIZE,2019-03-21 17:00:00,2019-03-21 17:00:00,2
11,23.5cm以下,2019-03-21 17:00:00,2019-03-21 17:00:00,2
12,24cm,2019-03-21 17:00:00,2019-03-21 17:00:00,2
13,24.5cm,2019-03-21 17:00:00,2019-03-21 17:00:00,2
14,25cm,2019-03-21 17:00:00,2019-03-21 17:00:00,2
15,25.5cm,2019-03-21 17:00:00,2019-03-21 17:00:00,2
16,26cm,2019-03-21 17:00:00,2019-03-21 17:00:00,2
17,26.5cm,2019-03-21 17:00:00,2019-03-21 17:00:00,2
18,27cm,2019-03-21 17:00:00,2019-03-21 17:00:00,2
19,27.5cm,2019-03-21 17:00:00,2019-03-21 17:00:00,2
20,28cm,2019-03-21 17:00:00,2019-03-21 17:00:00,2
21,28.5cm,2019-03-21 17:00:00,2019-03-21 17:00:00,2
22,29cm,2019-03-21 17:00:00,2019-03-21 17:00:00,2
23,29.5cm,2019-03-21 17:00:00,2019-03-21 17:00:00,2
24,30cm,2019-03-21 17:00:00,2019-03-21 17:00:00,2
25,30.5cm,2019-03-21 17:00:00,2019-03-21 17:00:00,2
26,31cm以上,2019-03-21 17:00:00,2019-03-21 17:00:00,2
27,20cm以下,2019-03-21 17:00:00,2019-03-21 17:00:00,3
28,20.5cm,2019-03-21 17:00:00,2019-03-21 17:00:00,3
29,21cm,2019-03-21 17:00:00,2019-03-21 17:00:00,3
30,21.5cm,2019-03-21 17:00:00,2019-03-21 17:00:00,3
31,22cm,2019-03-21 17:00:00,2019-03-21 17:00:00,3
32,22.5cm,2019-03-21 17:00:00,2019-03-21 17:00:00,3
33,23cm,2019-03-21 17:00:00,2019-03-21 17:00:00,3
34,23.5cm,2019-03-21 17:00:00,2019-03-21 17:00:00,3
35,24cm,2019-03-21 17:00:00,2019-03-21 17:00:00,3
36,24.5cm,2019-03-21 17:00:00,2019-03-21 17:00:00,3
37,25cm,2019-03-21 17:00:00,2019-03-21 17:00:00,3
38,25.5cm,2019-03-21 17:00:00,2019-03-21 17:00:00,3
39,26cm,2019-03-21 17:00:00,2019-03-21 17:00:00,3
40,26.5cm,2019-03-21 17:00:00,2019-03-21 17:00:00,3
41,27cm,2019-03-21 17:00:00,2019-03-21 17:00:00,3
42,27.5cm以上,2019-03-21 17:00:00,2019-03-21 17:00:00,3
